"2018-04-24T09:44:22.258-05:00","14651","1","127","0","[1.12675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,1.09489,0.729927,0,0,0,0,0,0,0,0,0,13.1387,28.4672,18.2482,2.55474,0,0,0,0,0,0.729927,7.66423,5.83942,1.82482,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45985,1.09489,0,0,0,0,0,8.0292,11.3139,3.28467,1.82482,2.18978,1.82482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,3.64964,5.47445,5.10949,4.0146,2.91971,2.55474,1.09489,1.45985,1.09489,0,0,0.364964,1.82482]","[0.549451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3846,23.0769,19.2308,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T09:44:24.251-05:00","14685","1","127","0","[1.23682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0.364964,0,0,0,0,0,0,0,0,0,15.3285,29.562,19.3431,2.91971,0,0,0,0,0,1.45985,6.93431,6.93431,1.45985,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45985,1.09489,0,0,0,0,0,11.6788,17.5182,5.10949,2.18978,2.55474,1.09489,0,0,0,0,0,0,1.45985,1.45985,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55474,4.37956,4.37956,2.91971,2.55474,2.55474,0.364964,0.729927,1.09489,0,0,0,2.18978]","[0.335775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,11.5385,0,0,0,0,0,0,0,0,0,0,0,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,15.3846,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T09:44:25.249-05:00","14702","1","127","0","[1.17599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0.729927,0,0,0,0,0,0,0,0,0,14.5985,27.7372,21.5328,1.45985,0,0,0,0,0,1.09489,6.20438,6.20438,1.45985,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,1.09489,0,0,0,0,0,11.6788,18.2482,2.91971,2.18978,2.55474,0.729927,0,0,0,0,0,0,1.82482,1.82482,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55474,3.64964,3.64964,2.55474,2.55474,2.55474,0.364964,0.364964,0,0,0,0.729927,2.18978]","[2.62515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,15.3846,19.2308,0,0,0,0,0,0,3.84615,3.84615,26.9231,30.7692,23.0769,3.84615,0,0,0,0,0,11.5385,19.2308,15.3846,11.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,23.0769,23.0769,23.0769,23.0769,23.0769,15.3846,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T09:44:26.245-05:00","14719","1","127","0","[1.14413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0.729927,0,0,0,0,0,0,0,0,0,13.8686,28.4672,22.2628,1.09489,0,0,0,0,0,0.364964,6.20438,5.47445,1.45985,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0,0,0,0,0,12.4088,18.9781,2.18978,1.45985,2.18978,0.729927,0,0,0,0,0,0,1.82482,0.729927,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55474,3.64964,3.28467,2.55474,2.55474,2.18978,0.364964,0.364964,0,0,0,0.729927,2.18978]","[1.89255,11.5385,26.9231,19.2308,11.5385,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,38.4615,46.1538,19.2308,3.84615,0,0,0,0,0,0,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,11.5385,7.69231,0,0,0,0,0,0,3.84615,7.69231,11.5385]","[]","[]","[]"
"2018-04-24T09:44:27.243-05:00","14736","1","127","0","[1.19917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09489,1.09489,0.364964,0,0,0,0,0,0,0,0,16.4234,27.3723,22.9927,1.09489,0,0,0,0,0,0.364964,7.66423,7.66423,1.45985,1.09489,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,0,0,0,0,0,13.1387,19.3431,1.82482,1.45985,2.18978,0.729927,0,0,0,0,0,0,1.09489,0.729927,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55474,3.64964,3.28467,2.91971,2.55474,1.82482,0.364964,0.364964,0,0,0,0.729927,1.82482]","[0.976801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0769,42.3077,38.4615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,7.69231,3.84615,0,0,0,0,0,0,0,0,0,3.84615]","[]","[]","[]"
"2018-04-24T09:44:28.239-05:00","14753","1","127","0","[1.23972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45985,1.45985,0.364964,0,0,0,0,0,0,0,0,18.6131,27.3723,22.6277,1.09489,0,0,0,0,0,1.45985,9.85401,8.39416,0.729927,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,13.5036,19.3431,2.18978,2.18978,1.82482,0.729927,0,0,0,0,0,0,1.09489,0.364964,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91971,4.0146,3.28467,3.28467,2.55474,1.45985,0.364964,0.364964,0,0,0,0.364964,1.82482]","[0.824176,7.69231,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,7.69231,0,0,0,0,0,0,0,0,0,7.69231,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,23.0769,19.2308,7.69231,0,0,0,0,0,0,0,0,3.84615]","[]","[]","[]"
"2018-04-24T09:44:29.236-05:00","14770","1","127","0","[1.23103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55474,1.45985,0.364964,0,0,0,0,0,0,0,0,17.8832,30.6569,23.3577,2.18978,0,0,0,0,0,2.18978,9.12409,7.29927,1.82482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0,0,0,0,0,12.0438,18.9781,2.18978,1.82482,1.82482,0.729927,0,0,0,0,0,0,0.729927,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55474,3.64964,4.0146,2.18978,1.45985,1.45985,0,0.364964,0,0,0,0.364964,1.09489]","[1.5873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,3.84615,7.69231,7.69231,11.5385,15.3846,11.5385,11.5385,11.5385,0,0,0,0,0,0,0,7.69231,3.84615,7.69231,7.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,11.5385,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,23.0769,23.0769,15.3846,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T09:44:30.233-05:00","14787","1","127","0","[1.25999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729927,1.09489,0,0,0,0,0,0,0,0,0,19.708,33.9416,24.8175,2.91971,0,0,0,0,0,1.82482,9.85401,7.66423,1.45985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4088,19.708,2.91971,1.82482,1.82482,0.729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18978,3.64964,3.28467,2.18978,1.09489,0.729927,0,0.729927,0,0,0,0.364964,1.09489]","[0.4884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0769,19.2308,11.5385,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T09:44:31.230-05:00","14804","1","127","0","[1.34979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0.729927,1.09489,0,0,0,0,0,0,0,0,0,20.8029,37.2263,29.927,2.91971,0,0,0,0,0,2.18978,10.219,7.29927,1.82482,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4088,19.3431,2.91971,1.82482,1.45985,0.729927,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55474,3.28467,3.28467,2.18978,1.45985,0.729927,0,0.729927,0,0,0,0.364964,0.729927]","[0.0915751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,3.84615,3.84615,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
"2018-04-24T09:44:32.226-05:00","14821","1","127","0","[1.35268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364964,0.729927,0.729927,0,0,0,0,0,0,0,0,0,20.438,40.5109,31.0219,2.91971,0,0,0,0,0,2.18978,9.85401,6.20438,1.82482,1.09489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4088,18.6131,2.91971,1.09489,1.45985,0.729927,0,0,0,0,0,0,0.364964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55474,3.28467,2.55474,2.18978,1.45985,1.45985,0,0.729927,0,0,0,0,0.729927]","[0.335775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69231,3.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615,19.2308,7.69231,0,0,0,0,0,0,0,0,0,0]","[]","[]","[]"
